myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,instruction_loop.ran,slides,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img,rep_resp.keys,rep_resp.rt,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,task_response.keys,task_response.corr,task_response.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,condition
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,,Hand labour tool & accessory,2,0,stimuli/objects/adjustablewrench01b.jpg,,,,,,,,3,0,0.8739,0,100,100,100,1,1
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,,Outdoor activity & sport item,1,0,stimuli/objects/golfbag.jpg,,,,,,,,3,0,1.4819,0,101,101,101,1,1
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,,Electronic device & accessory,3,1,stimuli/objects/filmroll.jpg,,,,,,,,3,1,0.962,0,102,102,102,1,1
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,,Kitchen & utensil,4,1,stimuli/objects/icebucket.jpg,,,,,,,,4,1,1.394,0,103,103,103,1,0
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,,Hand labour tool & accessory,1,0,stimuli/objects/squeegee01b.jpg,,,,,,,,2,0,0.6236,0,104,104,104,1,1
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,,Electronic device & accessory,4,1,stimuli/objects/camera01a.jpg,,,,,,,,4,1,1.9112,0,105,105,105,1,1
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,,Hand labour tool & accessory,1,0,stimuli/objects/cuttingpliers02.jpg,,,,,,,,4,0,1.0729,0,106,106,106,1,0
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,,Kitchen & utensil,4,1,stimuli/objects/toasteroven.jpg,,,,,,,,4,1,0.9283,0,107,107,107,1,0
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,,Electronic device & accessory,3,1,stimuli/objects/soundmixer.jpg,,,,,,,,3,1,1.1648,0,108,108,108,1,1
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,,Hand labour tool & accessory,4,0,stimuli/objects/snowshovel.jpg,,,,,,,,1,0,0.5796,0,109,109,109,1,0
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,,Electronic device & accessory,2,1,stimuli/objects/desktopcomputer.jpg,,,,,,,,2,1,0.7107,0,110,110,110,1,1
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,,Hand labour tool & accessory,4,0,stimuli/objects/painttray.jpg,,,,,,,,3,0,0.9904,0,111,111,111,1,1
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,,Kitchen & utensil,3,1,stimuli/objects/freezer02.jpg,,,,,,,,3,1,2.4697,0,112,112,112,1,0
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,,Outdoor activity & sport item,1,0,stimuli/objects/swimgoggles.jpg,,,,,,,,3,0,0.8285,0,113,113,113,1,0
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,,Electronic device & accessory,3,0,stimuli/objects/cameracase01a.jpg,,,,,,,,1,0,0.5995,0,114,114,114,1,0
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,,Electronic device & accessory,1,1,stimuli/objects/computerkeyboard02.jpg,,,,,,,,1,1,0.8769,0,115,115,115,1,1
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,,Kitchen & utensil,4,1,stimuli/objects/waterbottle03.jpg,,,,,,,,4,1,0.8797,0,116,116,116,1,0
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,,Kitchen & utensil,1,0,stimuli/objects/oven.jpg,,,,,,,,3,0,1.3507,0,117,117,117,1,1
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,,Outdoor activity & sport item,4,0,stimuli/objects/backpack01a.jpg,,,,,,,,3,0,0.8759,0,118,118,118,1,0
,,,,,,,,,,,,,,7,,2022-01-07_17h11.42.668,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,,Kitchen & utensil,3,1,stimuli/objects/measuringspoon.jpg,,,,,,,,3,1,0.8454,0,119,119,119,1,0
