myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,instruction_loop.ran,slides,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img,rep_resp.keys,rep_resp.rt,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,task_response.keys,task_response.corr,task_response.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,condition
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,,Kitchen & utensil,2,0,stimuli/objects/kitchenscale01a.jpg,,,,,,,,1,0,1.8529,0,101,101,101,1,1
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,,Hand labour tool & accessory,1,1,stimuli/objects/metalscissors.jpg,,,,,,,,1,1,1.127,0,102,102,102,1,0
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,,Electronic device & accessory,3,0,stimuli/objects/coffeemachine.jpg,,,,,,,,4,0,0.6691,0,103,103,103,1,1
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,,Hand labour tool & accessory,2,1,stimuli/objects/mitresaw.jpg,,,,,,,,4,0,2.3891,0,104,104,104,1,0
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,,Kitchen & utensil,4,0,stimuli/objects/grater01a.jpg,,,,,,,,1,0,0.8365,0,105,105,105,1,0
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,,Hand labour tool & accessory,3,1,stimuli/objects/leafblower01.jpg,,,,,,,,3,1,1.3185,0,106,106,106,1,0
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,,Outdoor activity & sport item,3,1,stimuli/objects/footballhelmet.jpg,,,,,,,,3,1,1.6024,0,107,107,107,1,1
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,,Outdoor activity & sport item,2,1,stimuli/objects/baseball01a.jpg,,,,,,,,2,1,1.1515,0,108,108,108,1,1
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,,Outdoor activity & sport item,3,1,stimuli/objects/bicycle.jpg,,,,,,,,3,1,1.2284,0,109,109,109,1,1
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,,Hand labour tool & accessory,1,0,stimuli/objects/mallet01b.jpg,,,,,,,,3,0,0.5408,0,110,110,110,1,1
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,,Outdoor activity & sport item,4,1,stimuli/objects/exercisebike.jpg,,,,,,,,4,1,1.7518,0,111,111,111,1,1
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,,Outdoor activity & sport item,1,1,stimuli/objects/backpack01a.jpg,,,,,,,,1,1,0.7545,0,112,112,112,1,1
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,,Hand labour tool & accessory,2,1,stimuli/objects/nailgun.jpg,,,,,,,,2,1,3.2839,0,113,113,113,1,0
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,,Kitchen & utensil,1,0,stimuli/objects/icebucket.jpg,,,,,,,,4,0,1.6448,0,114,114,114,1,0
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,,Outdoor activity & sport item,1,0,stimuli/objects/handgripper.jpg,,,,,,,,4,0,1.2605,0,115,115,115,1,0
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,,Hand labour tool & accessory,3,1,stimuli/objects/gastank.jpg,,,,,,,,3,1,1.3883,0,116,116,116,1,0
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,,Kitchen & utensil,1,0,stimuli/objects/teapot.jpg,,,,,,,,2,0,1.2611,0,117,117,117,1,0
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,,Hand labour tool & accessory,1,1,stimuli/objects/hoe.jpg,,,,,,,,1,1,0.77,0,118,118,118,1,0
,,,,,,,,,,,,,,4,611976,2021-12-27_15h19.31.289,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,,Hand labour tool & accessory,2,1,stimuli/objects/squeegee01b.jpg,,,,,,,,4,0,1.3614,0,119,119,119,1,0
